Participant-ID,Status,Manbox5_1,Manbox5_2,Manbox5_3,Manbox5_4,Manbox5_5,isolated,WomenDifferent,Manbox5_overall,language,Masculinity_contrained,GrowthMindset,COVID,criticises,MenBetterSTEM,School_support_engage6,pwi_wellbeing,Intelligence1,Intelligence2,Soft,opinion,Nerds,School_support_engage,comfortable,future,bullying,candidate_Perc_Effort,YourComments
32437,completed,4,1,1,1,1,1,2,1.6,1,1.25,10.5,5,7,1,6.833333333333333,9,1,1,1,1,1,6.75,6,7,7,94, Students are given opportunities to voice their ideas and opinions
32472,completed,2,3,1,1,2,2,3,1.8,1,2.25,10.5,2,2,2,5.333333333333333,9,1,1,3,4,1,5.5,7,6,7,1, I've grown as a person by embracing challenging assignments
32423,completed,1,1,1,1,1,4,1,1.0,0,1.0,6.0,4,5,1,5.5,9,4,4,1,4,1,6.25,6,7,7,53, The opportunities provided have helped me discover my strengths
32422,completed,1,1,1,1,1,1,2,1.0,0,1.25,8.5,4,4,1,6.5,9,2,3,1,1,1,6.25,7,7,7,69, Our school prepares us for challenges we might face in the future
32452,completed,5,5,4,3,7,1,7,4.8,1,6.0,7.0,6,7,5,6.5,9,4,2,7,4,5,7.0,7,7,7,6, There have been times when I've felt overwhelmed by the workload
32537,completed,2,1,3,2,2,3,4,2.0,1,3.5,7.0,7,6,2,5.833333333333333,8,4,2,4,4,4,6.5,6,7,7,7, I've encountered instances where classroom discussions have been one-sided
32395,completed,1,1,4,3,1,1,2,2.0,0,1.75,8.5,1,4,1,6.0,10,3,1,2,4,2,6.25,7,7,7,87, The school's focus on grades can overshadow the joy of learning
32457,completed,1,1,1,2,1,2,6,1.2,1,3.0,10.5,3,7,1,6.0,8,1,1,3,4,2,6.5,7,6,6,39, The competitiveness among students can create unnecessary stress
32505,completed,1,1,1,1,1,2,5,1.0,0,2.0,9.5,6,2,1,5.333333333333333,6,1,3,1,1,1,4.75,6,5,6,53, The lack of real-world application in some lessons makes learning feel disconnected
32434,completed,2,1,1,1,1,2,4,1.2,0,2.5,10.5,5,5,2,6.166666666666667,8,1,1,2,3,2,6.5,7,7,7,53, The school places importance on mental and emotional health
32406,completed,3,4,4,1,3,1,1,3.0,0,3.75,6.5,2,3,3,5.666666666666667,8,4,3,7,3,4,5.5,7,5,7,10, There's a sense of belonging; we support each other like a family
32535,completed,3,2,2,1,1,3,6,1.8,0,6.25,6.0,7,7,5,6.166666666666667,9,4,4,7,3,7,6.75,6,7,7,53, Peer support programs help us connect and share our experiences
32497,completed,3,1,4,1,1,2,4,2.0,0,1.75,9.5,4,5,1,5.666666666666667,8,1,3,1,4,1,6.0,6,7,6,53, We're encouraged to talk about our feelings and challenges openly
32454,completed,1,1,1,1,1,2,2,1.0,0,1.25,2.5,6,4,1,6.0,6,6,7,1,2,1,6.0,6,7,7,66, There's a focus on building resilience and coping skills
32449,completed,1,2,1,6,1,2,7,2.2,0,2.75,10.5,4,5,1,5.666666666666667,10,1,1,2,2,1,5.5,7,7,3,53, Kindness and respect are core values; bullying is not tolerated
32436,completed,2,1,1,1,1,1,7,1.2,0,2.5,8.5,5,4,1,5.666666666666667,9,2,3,1,4,1,5.75,5,7,7,67, The support I receive from friends and teachers boosts my confidence
32550,completed,1,1,2,1,1,3,4,1.2,0,2.25,7.0,4,4,1,6.0,7,2,6,2,2,2,6.25,7,7,7,53, I feel comfortable seeking help or advice from my teachers
32490,completed,5,1,4,2,3,1,4,3.0,1,3.0,9.5,5,6,4,6.666666666666667,9,2,1,3,2,1,6.75,7,7,7,83, Our school's culture creates a friendly and welcoming atmosphere
32496,completed,2,1,1,2,4,2,6,2.0,0,4.0,5.5,2,1,1,4.833333333333333,6,5,3,4,5,5,5.0,6,6,7,53, I'm proud to be part of a school where everyone looks out for each other
32502,completed,2,1,1,1,1,6,2,1.2,0,2.25,8.0,7,7,1,5.5,7,3,2,2,2,4,6.25,4,7,7,53, Sometimes it feels like mental health isn't discussed enough
32441,completed,3,2,2,1,3,3,7,2.2,1,5.0,1.5,1,4,6,5.833333333333333,10,7,7,4,2,3,6.0,6,7,7,5, There have been instances where I've felt isolated or left out
32541,completed,4,1,2,1,1,2,5,1.8,0,4.25,6.0,5,4,4,5.333333333333333,8,4,4,4,4,4,5.5,6,6,6,40, The school could provide more resources for managing stress and anxiety
32518,completed,1,1,1,1,1,1,7,1.0,0,3.25,10.5,7,7,1,7.0,10,1,1,4,1,1,7.0,7,7,7,53, I've heard of cases where bullying hasn't been addressed adequately
32557,completed,2,1,3,2,2,2,6,2.0,1,3.5,4.0,7,4,4,5.5,8,6,4,2,2,2,5.25,6,6,5,42, The workload can get overwhelming affecting our mental wellbeing
32432,completed,1,1,1,1,1,1,1,1.0,0,1.0,9.5,5,6,1,6.666666666666667,10,1,3,1,1,1,6.5,7,6,7,80, Students' concerns about their mental health are sometimes dismissed
32440,completed,1,1,3,1,1,3,7,1.4,0,3.75,6.0,4,6,4,5.666666666666667,7,3,6,1,6,3,6.75,7,7,7,67, It would be helpful if teachers received more training on handling mental health issues
32485,completed,2,1,4,1,1,2,5,1.8,0,4.25,5.5,1,1,7,4.0,8,4,5,3,5,2,3.75,6,3,5,31, The pressure to excel academically can negatively impact our wellbeing
32560,completed,4,2,1,4,3,2,2,2.8,1,2.0,5.5,6,4,1,5.833333333333333,10,4,5,3,4,2,6.25,7,7,7,53, Not all students feel comfortable seeking help from teachers or counselors
32446,completed,1,1,1,1,1,1,2,1.0,0,1.25,8.0,5,2,1,5.166666666666667,8,2,4,1,3,1,4.75,6,5,6,72, I wish there were more activities focused on relaxation and stress relief
32492,completed,1,1,1,1,1,2,5,1.0,0,2.25,9.5,1,5,1,6.333333333333333,8,2,1,1,2,2,6.5,7,7,7,53, Teachers create a warm and supportive atmosphere in the classroom
32403,completed,4,3,1,1,1,1,3,2.0,0,1.5,9.0,3,3,1,5.833333333333333,7,2,2,1,2,1,5.5,6,7,6,53, We're encouraged to build positive relationships with both peers and staff
32448,completed,1,5,1,1,4,1,5,2.4,0,3.0,10.5,7,7,1,6.833333333333333,7,1,1,5,1,1,6.75,7,7,6,25, The connections I've formed at school are valuable and lasting
32564,completed,4,1,1,1,7,1,7,2.8,1,3.5,10.5,5,7,4,6.0,5,1,1,1,5,2,6.5,5,7,7,5, The school values everyone's contributions and talents
32443,completed,3,2,5,2,2,1,7,2.8,0,4.25,9.5,7,7,2,6.333333333333333,10,2,1,4,1,4,6.0,7,5,5,12, Support from classmates motivates me to overcome challenges
32458,completed,2,1,2,2,1,2,4,1.6,0,3.75,6.5,6,4,3,5.666666666666667,8,4,3,4,4,4,6.0,6,7,7,53, The overall atmosphere at school is positive and uplifting
32392,completed,4,2,4,4,2,5,3,3.2,0,3.25,8.0,1,5,2,4.833333333333333,8,3,2,6,2,2,5.0,6,7,2,87, The positive peer relationships boost my confidence
32532,completed,4,1,1,2,1,2,3,1.8,0,2.25,6.5,4,6,4,6.166666666666667,8,4,3,1,2,1,6.25,6,6,7,77, Peers create a welcoming environment for everyone
32488,completed,1,1,1,1,1,4,3,1.0,0,1.5,6.5,4,7,1,5.666666666666667,8,3,5,1,3,1,6.25,7,5,6,53, Students are respectful and considerate of each other's needs
32405,completed,1,1,2,1,1,2,4,1.2,0,1.75,9.0,6,6,1,6.333333333333333,10,1,4,1,3,1,6.75,7,7,7,63, I'm fortunate to have friends who genuinely care about me
32513,completed,1,1,1,1,1,2,4,1.0,0,2.5,5.0,2,4,4,5.333333333333333,8,5,4,1,3,1,5.25,6,5,6,92, Not all students are equally inclusive; there are cliques
32547,completed,4,5,3,6,4,5,6,4.4,1,6.25,3.5,4,6,5,4.666666666666667,9,5,7,7,3,7,5.0,4,6,4,27, I've encountered instances of bullying that weren't addressed promptly
32407,completed,1,3,1,1,1,4,7,1.4,0,3.25,6.0,6,6,3,5.166666666666667,6,3,6,1,3,2,5.5,5,7,4,53, Some peer relationships can be competitive and unhealthy
32522,completed,2,1,1,2,2,5,5,1.6,0,3.5,7.5,2,6,3,5.166666666666667,9,2,5,4,4,2,6.0,6,6,6,35, There are times when I feel judged by my classmates for my interests
32517,completed,1,1,1,1,1,2,2,1.0,0,1.25,3.5,3,5,1,5.666666666666667,9,6,5,1,3,1,5.75,6,6,6,93, Not all teachers seem equally approachable or understanding
32526,completed,3,1,1,1,1,4,3,1.4,1,2.25,5.5,6,5,3,4.833333333333333,6,5,3,2,4,1,5.25,5,5,6,21, At times it can feel like certain students are favored by teachers
32549,completed,1,1,1,1,1,1,4,1.0,0,2.0,7.0,5,4,1,6.333333333333333,9,4,2,2,1,1,6.0,6,7,7,53, There are instances where peer pressure affects students' decisions
32397,completed,1,1,4,1,2,1,4,1.8,0,2.0,4.5,1,2,1,4.5,9,6,3,1,4,2,4.0,5,4,5,85, I've faced challenges in group projects due to conflicting personalities
32486,completed,2,2,7,2,7,1,6,4.0,0,2.5,7.0,2,4,1,6.5,10,2,6,2,1,1,6.25,7,7,7,53, Cliques within the school can sometimes make it hard to fit in
32417,completed,1,1,1,1,1,2,6,1.0,0,3.75,8.5,2,2,3,4.333333333333333,9,2,3,4,5,2,4.25,5,5,5,53, Sometimes students don't take each other's feelings into consideration
32424,completed,1,1,1,1,1,1,7,1.0,0,3.0,9.5,4,5,1,6.666666666666667,9,2,1,2,1,2,6.5,7,7,7,53, Our school celebrates different cultures and backgrounds
32425,completed,1,1,1,1,1,1,5,1.0,0,2.0,1.5,4,5,1,6.5,10,7,7,1,2,1,6.5,7,7,7,19, We learn from each other's experiences broadening our horizons
32563,completed,1,1,1,2,1,2,1,1.2,1,1.25,9.0,3,6,1,5.166666666666667,7,2,2,2,2,1,4.75,5,7,1,53, The school promotes empathy and understanding among students
32511,completed,1,1,1,1,1,2,7,1.0,0,2.5,7.0,5,1,1,4.833333333333333,7,4,2,1,3,1,4.5,4,6,7,53, Inclusion is a priority making everyone feel valued and heard
32430,completed,1,1,1,1,1,2,4,1.0,0,1.75,6.0,6,4,1,5.5,9,4,4,1,5,1,6.0,6,7,7,53, Diverse perspectives make classroom discussions more enriching
32504,completed,4,2,7,4,3,1,4,4.0,0,3.75,4.0,2,2,4,6.0,10,6,4,3,2,4,5.75,7,7,7,34, I appreciate the effort to create an environment free of discrimination
32412,completed,1,1,1,1,1,1,5,1.0,1,2.75,8.5,4,3,1,5.5,8,2,3,3,4,2,5.5,6,7,6,53, We're encouraged to share our traditions and learn from each other
32530,completed,1,1,1,2,1,1,5,1.2,0,2.5,10.5,2,3,1,5.666666666666667,10,1,1,2,4,2,5.75,6,7,7,53, The school's culture embraces diversity and promotes unity
32453,completed,6,1,1,1,1,6,6,2.0,1,2.25,3.0,7,6,1,5.0,4,6,6,1,1,1,5.25,5,5,5,53, Learning about different cultures has been eye-opening and educational
32499,completed,1,1,1,1,1,2,7,1.0,0,3.0,9.0,1,7,1,6.833333333333333,8,2,2,2,1,2,7.0,7,7,7,74, The school values everyone's unique backgrounds and perspectives
32414,completed,7,2,2,2,1,6,5,2.8,0,2.75,2.5,2,4,1,4.833333333333333,10,7,5,2,6,3,6.25,7,7,7,20, There are times when I've felt like an outsider due to my background
32445,completed,6,1,4,1,3,2,5,3.0,0,4.5,8.0,3,1,3,4.833333333333333,7,2,4,7,2,3,4.25,5,4,7,17, Discussions about diversity and inclusion could be more frequent
32439,completed,1,1,1,1,1,1,5,1.0,0,2.75,3.5,1,7,1,6.833333333333333,9,5,7,4,2,1,7.0,7,7,7,53, Not all students are equally aware of the importance of respecting diversity
32544,completed,1,2,4,2,4,1,4,2.6,0,2.5,10.0,2,3,1,5.833333333333333,7,1,2,4,2,1,5.5,6,6,7,70, I've witnessed instances of microaggressions that went unaddressed
32470,completed,4,4,4,4,4,2,4,4.0,0,4.5,9.0,7,5,4,6.0,9,2,2,4,2,6,6.0,7,6,6,90, Some students don't seem interested in learning about other cultures
32465,completed,4,1,1,1,1,3,4,1.6,1,2.0,9.0,1,5,1,5.666666666666667,10,2,2,2,4,1,6.25,7,7,6,53, It would be helpful if there were more initiatives to educate students about diversity
32545,completed,4,1,1,4,2,1,5,2.4,1,2.0,9.0,2,2,1,5.0,5,2,2,1,7,1,5.5,7,7,6,4, Sometimes topics related to diversity are glossed over in our lessons
32419,completed,2,1,2,1,2,1,4,1.6,0,2.0,6.5,2,3,2,6.166666666666667,10,3,5,1,2,1,6.0,7,7,7,26, There's room for improvement in making the school more inclusive for all students
32543,completed,1,1,1,6,1,2,1,2.0,0,1.0,10.5,2,2,1,6.0,9,1,1,1,1,1,5.75,7,7,7,53, I wish there were more opportunities to learn about different perspectives
32404,completed,5,6,2,3,7,4,5,4.6,0,4.0,6.0,3,3,4,5.0,8,4,4,5,3,2,5.25,5,7,6,53, The school's efforts to promote diversity and inclusion could be more visible
32468,completed,1,1,1,1,1,2,4,1.0,0,2.0,10.5,4,5,1,6.0,7,1,1,2,3,1,6.25,6,7,7,88, Our school offers a variety of extracurricular activities to choose from
32401,completed,7,1,1,6,1,1,5,3.2,0,2.25,3.5,2,7,2,6.666666666666667,9,5,7,1,2,1,6.75,6,7,7,53, Engaging in clubs and events after class has enhanced my school experience
32459,completed,1,3,2,5,2,5,7,2.6,0,4.25,5.5,3,7,4,5.5,7,6,1,5,4,1,6.5,6,7,6,38, Extracurriculars provide opportunities to pursue passions and hobbies
32503,completed,1,1,1,1,1,1,1,1.0,1,1.0,4.0,5,5,1,6.5,9,6,4,1,2,1,6.5,7,7,7,53, These activities allow us to form friendships beyond our classrooms
32512,completed,1,1,1,1,1,6,5,1.0,0,2.0,6.0,5,4,1,5.333333333333333,9,4,4,1,2,1,6.0,6,7,7,62, The school encourages us to explore our interests outside of academics
32415,completed,7,4,5,3,1,7,4,4.0,0,4.0,3.5,1,1,4,3.6666666666666665,2,7,3,3,2,5,3.75,3,4,7,17, I appreciate the range of options available for extracurricular involvement
32421,completed,1,1,1,1,1,1,2,1.0,0,1.25,10.5,5,6,1,6.666666666666667,10,1,1,1,2,1,6.75,7,7,7,66, Participating in clubs has helped me develop new skills and interests
32489,completed,1,1,1,1,1,3,7,1.0,0,3.5,2.5,1,4,1,5.166666666666667,6,7,5,1,3,5,5.25,6,7,4,77, The diverse range of extracurriculars reflects the school's inclusive culture
32491,completed,5,2,4,2,3,1,7,3.2,0,5.0,10.5,1,7,2,6.0,10,1,1,4,6,7,6.75,7,6,7,72, Extracurriculars foster a sense of community and belonging
32515,completed,1,1,1,1,1,1,4,1.0,0,2.25,6.0,5,1,1,5.5,6,5,2,1,4,3,5.5,7,7,7,53, Engaging extracurriculars make school life vibrant and exciting
32521,completed,2,1,1,4,6,1,7,2.8,1,3.0,10.5,2,3,2,6.166666666666667,10,1,1,2,1,1,5.75,7,7,6,53, While there are extracurricular options some lack regular organization
32506,completed,3,3,2,1,6,1,2,3.0,1,2.75,3.5,3,5,5,5.0,8,6,5,3,4,1,4.75,6,7,1,53, The availability of certain extracurricular activities is limited
32524,completed,3,1,4,1,1,2,6,2.0,1,3.0,9.0,4,5,4,6.333333333333333,9,1,4,1,2,1,6.5,7,7,7,53, Some clubs feel exclusive and hard to join for newcomers
32473,completed,1,1,1,1,1,2,1,1.0,1,1.0,9.5,1,5,1,4.833333333333333,7,1,3,1,3,1,4.5,5,5,3,53, I've faced challenges in balancing academics with extracurricular commitments
32399,completed,1,5,2,2,5,6,7,3.0,0,4.25,4.0,1,5,2,4.833333333333333,9,6,4,5,4,3,5.75,7,5,6,30, Not all students have equal access to extracurricular opportunities
32482,completed,5,3,4,2,4,4,5,3.6,1,3.0,8.5,5,6,2,5.666666666666667,7,2,3,3,4,2,6.5,7,7,6,53, The school could provide more resources to support extracurricular clubs
32469,completed,1,3,1,2,1,2,5,1.6,0,3.0,8.0,4,5,1,6.0,9,2,4,4,3,2,6.25,7,6,7,84, I wish there were more opportunities to start new clubs based on interests
32409,completed,4,1,1,1,1,7,7,1.6,0,3.25,10.0,7,3,1,5.0,9,1,2,1,2,4,5.75,7,7,6,39, At times extracurriculars can add to the stress of an already busy schedule
32514,completed,1,2,7,1,1,3,3,2.4,0,1.5,6.0,3,5,1,5.666666666666667,10,5,2,1,2,1,5.75,7,5,6,90, The process of getting involved in clubs could be made more transparent
32420,completed,1,1,1,1,1,1,2,1.0,0,1.25,10.5,3,4,1,6.166666666666667,10,1,1,1,2,1,6.0,7,6,7,97, Some students feel overwhelmed by the pressure to excel in both academics and extracurriculars
32483,completed,1,2,1,2,1,1,7,1.4,1,2.5,6.0,4,2,1,5.666666666666667,9,5,2,1,2,1,5.25,6,6,7,76, Our school is a safe and welcoming space for everyone
32546,completed,1,1,1,2,2,1,7,1.4,0,2.5,9.0,3,7,1,6.666666666666667,8,1,4,1,3,1,7.0,7,7,7,88, Respect and kindness are values that resonate throughout the campus
32509,completed,4,2,3,2,4,4,7,3.0,0,3.5,6.0,6,5,1,3.8333333333333335,9,4,4,3,7,3,4.5,3,5,5,53, Students and staff alike create a positive atmosphere every day
32493,completed,1,1,1,1,1,1,4,1.0,0,1.75,10.5,5,1,1,5.166666666666667,7,1,1,1,5,1,5.25,6,7,7,66, I feel a sense of positivity whenever I step into the school
32428,completed,2,1,1,2,1,1,7,1.4,0,3.5,8.5,4,3,2,5.5,9,2,3,1,3,4,5.25,6,6,6,57, The school's culture fosters a sense of belonging and unity
32534,completed,6,1,4,4,2,4,5,3.4,0,4.25,4.0,2,2,3,4.666666666666667,8,5,6,5,4,4,5.0,7,5,6,41, Support from teachers and peers makes overcoming challenges easier
32426,completed,4,2,2,2,2,1,7,2.4,0,4.0,7.0,7,7,5,6.666666666666667,9,3,4,2,1,2,6.5,6,6,7,53, The school's community feels like a second home to me
32476,completed,4,1,2,2,4,2,6,2.6,1,3.75,8.5,4,4,1,5.166666666666667,6,2,3,4,5,4,5.5,6,6,6,93, There's a strong sense of camaraderie among students
32539,completed,1,1,1,1,1,1,4,1.0,1,2.25,9.0,4,4,1,5.666666666666667,9,2,2,2,3,2,5.5,6,7,5,53, The school's values align with creating a supportive and inclusive environment
32495,completed,5,1,2,1,3,2,6,2.4,0,3.75,9.0,4,4,1,5.666666666666667,8,2,2,6,3,2,5.75,6,7,6,27, I appreciate the strong emphasis on character education and personal development
32477,completed,2,5,5,4,1,4,6,3.4,0,3.25,5.0,4,5,1,5.333333333333333,10,5,4,3,5,3,6.25,7,6,7,53, The school environment can feel cliquey and exclusive at times
32408,completed,4,2,4,4,4,1,3,3.6,0,3.75,5.5,3,5,4,6.5,8,4,5,4,1,4,6.25,7,6,7,56, Not all students are equally respectful of the school's values and rules
32510,completed,1,1,1,1,1,2,3,1.0,0,2.5,7.0,5,4,1,5.833333333333333,9,3,4,1,3,5,6.0,6,7,7,53, There's room for improvement in addressing instances of disrespect
32520,completed,1,1,1,1,1,2,4,1.0,0,1.75,5.0,4,2,1,4.0,7,5,4,1,4,1,3.5,6,4,2,53, Some students don't take the school's values seriously affecting the culture
32533,completed,1,1,1,1,1,1,4,1.0,0,2.25,8.5,6,5,1,6.333333333333333,10,1,5,1,1,3,6.0,6,6,7,53, The emphasis on rules and discipline can overshadow other aspects of learning
32559,completed,4,1,3,5,2,1,6,3.0,1,4.75,4.5,7,5,4,5.5,8,5,5,4,5,5,5.75,5,6,7,53, At times the school's culture doesn't feel as inclusive as it could be
32540,completed,2,2,1,2,1,4,5,1.6,1,3.0,5.5,6,5,3,4.833333333333333,6,4,5,3,6,1,5.75,5,6,7,86, The pressure to conform to certain norms can stifle individuality
32442,completed,2,1,1,4,7,3,4,3.0,1,2.25,8.0,7,7,2,6.333333333333333,8,3,2,2,2,1,6.75,6,7,7,70, There's a need for more initiatives to promote a positive school climate
32455,completed,1,1,1,1,1,1,1,1.0,0,1.0,3.5,2,2,1,6.0,10,6,5,1,1,1,5.5,6,7,7,65, It would be beneficial to have more open discussions about school culture
32558,completed,6,2,1,2,5,4,5,3.2,1,5.25,5.5,7,1,4,4.833333333333333,8,5,3,5,1,7,4.5,6,5,6,34, The school's culture is a work in progress with room for improvement
32556,completed,1,1,1,1,1,3,1,1.0,0,1.0,6.0,3,6,1,5.333333333333333,7,4,4,1,4,1,5.75,6,5,6,28, The teaching methods often feel outdated and unengaging
32527,completed,1,1,1,1,1,1,7,1.0,0,2.75,9.5,7,7,1,6.833333333333333,9,1,3,2,2,1,7.0,7,7,7,53, Some teachers seem disinterested in students' learning struggles
32464,completed,1,1,2,2,2,2,4,1.6,0,3.0,7.5,6,5,3,6.333333333333333,9,3,3,2,2,3,6.5,7,7,7,53, I've encountered teachers who don't provide enough support
32416,completed,2,1,1,1,1,6,4,1.2,0,2.25,6.5,5,5,2,5.333333333333333,9,4,3,1,2,2,6.0,6,6,7,53, The lack of individual attention makes learning challenging
32498,completed,6,2,2,5,4,2,7,3.8,0,4.5,9.0,1,4,4,4.333333333333333,8,2,2,5,6,2,4.5,6,6,2,53, The pressure to excel academically overshadows genuine learning
32460,completed,4,3,4,3,7,5,5,4.2,0,3.25,5.0,5,4,3,5.0,10,6,2,2,4,3,5.75,6,7,6,53, Certain subjects are taught in a way that's hard to understand
32467,completed,5,4,4,1,4,2,5,3.6,1,4.5,9.0,5,4,4,4.5,4,2,2,4,5,5,4.5,5,5,4,29, I've experienced frustration when my questions aren't answered
32508,completed,3,1,1,1,1,5,6,1.4,0,3.25,4.0,6,6,2,5.666666666666667,10,5,6,2,4,3,6.75,7,7,7,53, The competitive atmosphere adds unnecessary stress to learning
32427,completed,1,1,1,1,1,2,4,1.0,0,2.0,8.5,3,1,1,4.833333333333333,9,2,3,2,4,1,4.75,6,7,5,53, The workload can be overwhelming and lead to burnout
32447,completed,4,7,4,1,1,1,4,3.4,0,3.25,5.0,6,5,4,5.666666666666667,4,5,4,4,4,1,5.75,4,7,7,53, The school's focus on grades discourages creative exploration
32529,completed,2,1,2,1,6,2,7,2.4,0,4.0,4.5,1,3,2,5.833333333333333,10,6,3,5,3,2,6.0,7,7,7,24, Discussions about mental health are rare and insufficient
32555,completed,2,2,2,2,2,3,5,2.0,0,4.25,6.5,5,4,6,5.333333333333333,7,4,3,4,3,2,5.5,6,6,6,53, Instances of bullying and harassment often go unnoticed
32528,completed,1,1,1,1,1,1,7,1.0,0,2.5,10.5,2,3,1,6.166666666666667,10,1,1,1,1,1,5.75,7,6,7,82, There's a lack of resources for students struggling with stress
32552,completed,1,1,1,1,1,4,4,1.0,0,1.75,2.5,2,7,1,3.3333333333333335,4,7,5,1,7,1,3.75,1,3,4,53, I've felt isolated during challenging times without support
32479,completed,4,3,1,1,1,1,7,2.0,1,3.25,3.5,1,7,4,6.0,10,5,7,1,7,1,7.0,7,7,7,65, The school doesn't prioritize mental and emotional wellbeing
32471,completed,4,2,3,3,6,1,3,3.6,1,2.75,5.0,5,2,3,5.666666666666667,8,5,4,2,4,3,5.75,7,7,7,10, Not all teachers are approachable or willing to listen
32438,completed,1,1,1,1,1,2,4,1.0,1,1.75,10.5,6,7,1,6.0,10,1,1,1,4,1,6.5,6,6,7,11, Peer support is limited; students often deal with issues alone
32400,completed,4,7,7,7,1,3,4,5.2,0,3.25,5.0,3,3,4,5.0,8,5,4,2,4,3,5.25,6,6,6,53, The school's culture promotes a toxic sense of competition
32475,completed,4,2,2,4,1,2,2,2.6,0,1.25,1.5,3,3,1,4.833333333333333,8,7,7,1,4,1,4.75,6,5,5,27, Students' concerns about mental health are dismissed as trivial
32548,completed,5,1,1,2,7,4,7,3.2,1,5.25,9.5,7,6,6,4.833333333333333,8,1,3,7,2,1,4.75,5,4,4,53, I wish the school had more programs to address student stress
32394,completed,4,4,2,1,2,3,4,2.6,0,3.25,6.0,5,6,2,5.166666666666667,7,3,6,5,5,2,5.75,5,7,5,53, Cliques dominate the social scene making it hard to fit in
32478,completed,7,7,7,7,1,2,7,5.8,0,2.75,4.0,2,4,1,5.666666666666667,9,6,4,2,4,1,6.0,6,7,7,94, Some students create a negative and exclusive environment
32435,completed,1,1,1,2,1,1,7,1.2,0,4.0,7.5,4,5,3,6.166666666666667,9,2,5,4,2,2,6.0,7,5,7,74, Instances of bullying are swept under the rug by staff
32411,completed,1,1,2,1,1,5,4,1.2,0,3.5,7.0,7,6,1,4.833333333333333,3,3,4,6,4,3,5.5,7,2,7,17, The lack of empathy among peers is disheartening
32538,completed,4,2,4,4,5,3,7,3.8,1,3.0,3.5,6,6,1,5.166666666666667,5,5,7,1,3,3,5.25,4,7,4,53, Not all teachers treat students with respect and kindness
32519,completed,2,1,1,2,2,2,6,1.6,0,2.75,6.5,5,5,1,5.166666666666667,7,4,3,2,5,2,5.5,4,7,6,53, Favoritism from teachers creates an unfair classroom dynamic
32565,completed,2,1,1,1,4,6,7,1.8,1,4.75,1.5,7,7,4,4.666666666666667,4,7,7,4,5,4,5.75,5,5,6,82, Students often mock and belittle each other's struggles
32484,completed,2,2,2,4,5,3,5,3.0,1,4.0,4.5,6,5,4,5.666666666666667,7,5,5,5,3,2,6.0,6,6,7,56, Certain classmates actively discourage others' success
32418,completed,2,1,1,1,1,2,7,1.2,0,3.0,9.5,1,5,1,6.166666666666667,9,2,1,2,2,2,6.25,7,6,7,53, Group projects are challenging due to lack of cooperation
